"","cluster","X","class","species","mean_NMI","AltRange","Rough","Remot","RecInsul","DistNatAlien","PD","BodyMass","NatRangeSize","ED.Alien","mean.HII","Residence.time"
"1","Aerodramus bartschi_United States",74,"Aves","Aerodramus bartschi",-13.6,472,94.13,2671674.79,"Continent",5927.565767,3342.926,7.4,896.3865672,NA,43.0454545454545,NA
"2","Anolis aeneus_Guyana",90,"Reptilia","Anolis aeneus",-4.202,652,188.1,137951.88,"Island",535.4484189,4566.511,10.6,408.856282,0.002121652,22.8333333333333,1800
"3","Anolis aeneus_Trinidad and Tobago",56,"Reptilia","Anolis aeneus",-6.327,652,188.1,137951.88,"Island",131.7168038,3207.212,10.6,408.856282,0.023603401,41.8620689655172,1800
"4","Anolis allisoni_United States",85,"Reptilia","Anolis allisoni",0.643,1734,49.7,42960.1,"Continent",318.1582698,1896.005,20.4,94314.45077,0.032914592,39.7272727272727,NA
"5","Anolis chlorocyanus_United States",7,"Reptilia","Anolis chlorocyanus",0.137,2192,250.29,659071.86,"Continent",1001.421934,2024.533,10.6,6732.481056,0.090209477,32.5263157894737,1978
"6","Anolis cristatellus_Costa Rica",79,"Reptilia","Anolis cristatellus",-1.111,1223,132.88,704109.69,"Continent",1910.98968,4556.478,9.8,9265.658898,0.023502089,29.8,1971
"7","Anolis cristatellus_Dominica",115,"Reptilia","Anolis cristatellus",0.421,1223,132.88,704109.69,"Island",176.0541742,1782.858,9.8,9265.658898,0.055674139,27.3333333333333,2000
"8","Anolis cristatellus_Dominican Republic",20,"Reptilia","Anolis cristatellus",0.018,1223,132.88,704109.69,"Island",123.972708,2533.498,9.8,9265.658898,0.018458559,31.6666666666667,1916
"9","Anolis cristatellus_United States",81,"Reptilia","Anolis cristatellus",0.016,1223,132.88,704109.69,"Continent",1557.281705,1955.644,9.8,9265.658898,0.08158863,50.8924731182796,1973
"10","Anolis cybotes_United States",17,"Reptilia","Anolis cybotes",-0.087,2192,281.39,703351.92,"Island",987.9475902,2020.037,11,2044.361758,0.089950147,33.3333333333333,1966
"11","Anolis garmani_United States",82,"Reptilia","Anolis garmani",0.181,2123,177.3,624722.03,"Continent",834.4385377,1957.093,52.6,9934.699411,0.092418787,55.6666666666667,1979
"12","Anolis marmoratus_French Guiana",92,"Reptilia","Anolis marmoratus",-1.768,1328,138.19,578491.66,"Island",1398.761933,4471.5,12.6,1460.494114,0.025027631,33.5,1950
"13","Anolis porcatus_Dominican Republic",22,"Reptilia","Anolis porcatus",0.119,1734,48.14,198496.64,"Island",473.6636423,2712.113,17.6,109164.1276,0.049299644,46.8,1955
"14","Anolis porcatus_United States",9,"Reptilia","Anolis porcatus",0.29,1734,48.14,198496.64,"Continent",258.7066151,1955.138,17.6,109164.1276,0.092401702,48.125,1936
"15","Anolis richardii_Trinidad and Tobago",14,"Reptilia","Anolis richardii",-5.536,649,191.55,138461.71,"Island",134.2400758,2145.428,54.9,368.891809,0.029548826,35.4074074074074,NA
"16","Anolis trinitatis_Trinidad and Tobago",13,"Reptilia","Anolis trinitatis",-30.156,1075,287.79,274176.3,"Island",261.9372181,3430.14,8.4,350.743781,0.024837554,38.25,1808
"17","Branta sandvicensis_Belgium",80,"Aves","Branta sandvicensis",-0.211,2965,219.79,3636751.52,"Continent",11693.04639,5084.899,2044.1,6798.021537,0.577129433,48.7777777777778,NA
"18","Branta sandvicensis_United Kingdom",110,"Aves","Branta sandvicensis",-0.266,2965,219.79,3636751.52,"Island",11481.52761,5005.827,2044.1,6798.021537,0.774168359,43.3333333333333,NA
"19","Carlia ailanpalai_Guam",87,"Reptilia","Carlia ailanpalai",-27.19,600,101.73,1037351.09,"Island",1732.00133,872.027,4,1872.298565,0.252434903,32.25,1963
"20","Carlia ailanpalai_Northern Mariana Islands",88,"Reptilia","Carlia ailanpalai",-27.111,600,101.73,1037351.09,"Island",1812.095181,1024.09,4,1872.298565,0.260835212,31.8888888888889,1956
"21","Chloropsis cochinchinensis_Hong Kong",83,"Aves","Chloropsis cochinchinensis",0.289,3293,150.82,827733.64,"Continent",3315.364231,8818.643,24.5,79207.00477,0.721773001,NA,1991
"22","Corvus moneduloides_New Caledonia",29,"Aves","Corvus moneduloides",0.505,1508,251.76,1266048.99,"Island",66.37489817,3258.823,277.4,16470.82026,0.349615471,20.1538461538462,1981
"23","Eclectus roratus_Belgium",76,"Aves","Eclectus roratus",-4.628,2805,221.28,815891.73,"Continent",12032.32622,5116.032,480.8,52370.44666,0.576800097,47.3333333333333,NA
"24","Eclectus roratus_Indonesia",48,"Aves","Eclectus roratus",-0.238,2805,221.28,815891.73,"Island",125.6152257,7252.134,480.8,52370.44666,0.162749505,13.665306122449,1980
"25","Eclectus roratus_Palau",91,"Aves","Eclectus roratus",-2.346,2805,221.28,815891.73,"Island",831.6521354,3049.081,480.8,52370.44666,0.516362628,19.5714285714286,1919
"26","Eclectus roratus_United States",77,"Aves","Eclectus roratus",-4.025,2805,221.28,815891.73,"Continent",12942.55603,5795.623,480.8,52370.44666,0.676457177,46.2857142857143,1986
"27","Eleutherodactylus antillensis_British Virgin Islands",52,"Amphibia","Eleutherodactylus antillensis",0.369,1223,133.51,704723.38,"Island",55.75721877,828.037,3.41,9318.181838,0.11344063,35.5,NA
