"","class","species","cluster","mean_NMI","AltRange","Rough","Remot","RecInsul","DistNatAlien","PD","BodyMass","NatRangeSize","ED.Alien"
"1","Reptilia","Phelsuma grandis","Phelsuma grandis_United States",-2.974,1857,197.72,798809.1,"Continent",14461.71999,1704.559,30.1,9284.81621,0.067985834
"2","Aves","Serinus canaria","Serinus canaria_Netherlands",-1.917326932,3470,289.26,96368.76,"Continent",2666.711711,5582.384,24.3,10555.56287,0.60504708
"3","Aves","Serinus canaria","Serinus canaria_Australia",-1.463723621,3470,289.26,96368.76,"Continent",15192.80427,7860.418,24.3,10555.56287,0.246637233
"4","Aves","Phasianus versicolor","Phasianus versicolor_Belgium",-0.502,3644,194.26,174128.41,"Continent",8811.867988,5158.405,918.8,290222.5956,0.576176076
"5","Aves","Tadorna variegata","Tadorna variegata_Sweden",-0.3903,3331,232.72,1640316.75,"Continent",16836.93345,4904.131,1541,269037.401,0.772073913
"6","Reptilia","Sphaerodactylus elegans","Sphaerodactylus elegans_United States",-0.124,2159,65.49,198496.64,"Continent",158.7515177,1705.728,1.5,120541.2323,0.098359779
"7","Reptilia","Anolis chlorocyanus","Anolis chlorocyanus_United States",0.137,2192,250.29,659071.86,"Continent",1001.421934,2024.533,10.6,6732.481056,0.090209477
"8","Aves","Tadorna variegata","Tadorna variegata_Belgium",0.1754,3331,232.72,1640316.75,"Continent",17877.52826,5300.211,1541,269037.401,0.576759651
"9","Reptilia","Anolis porcatus","Anolis porcatus_United States",0.29,1734,48.14,198496.64,"Continent",258.7066151,1955.138,17.6,109164.1276,0.092401702
"10","Aves","Serinus canaria","Serinus canaria_Portugal",0.317596255,3470,289.26,96368.76,"Continent",831.109918,5749.004,24.3,10555.56287,0.752002243
"11","Reptilia","Furcifer oustaleti","Furcifer oustaleti_United States",0.543,2773,99.26,414857.43,"Continent",14263.40992,1966.727,434.3,1188452.801,0.086010196
"12","Reptilia","Teira dugesii","Teira dugesii_Portugal_AZ",-42.543,1600,440.26,374327.66,"Island",846.1146707,242.774,12.3,819.6066015,1
"13","Reptilia","Anolis trinitatis","Anolis trinitatis_Trinidad and Tobago",-30.156,1075,287.79,274176.3,"Island",261.9372181,3430.14,8.4,350.743781,0.024837554
"14","Reptilia","Anolis richardii","Anolis richardii_Trinidad and Tobago",-5.536,649,191.55,138461.71,"Island",134.2400758,2145.428,54.9,368.891809,0.029548826
"15","Aves","Serinus canaria","Serinus canaria_New Zealand",-1.967603,3470,289.26,96368.76,"Island",17662.52304,4275.153,24.3,10555.56287,0.383109552
"16","Reptilia","Phelsuma grandis","Phelsuma grandis_Mauritius",-0.526,1857,197.72,798809.1,"Island",874.3745536,1247.994,30.1,9284.81621,0.184107036
"17","Reptilia","Anolis cybotes","Anolis cybotes_United States",-0.087,2192,281.39,703351.92,"Island",987.9475902,2020.037,11,2044.361758,0.089950147
"18","Aves","Foudia madagascariensis","Foudia madagascariensis_Mauritius",-0.086,2773,99.27,414860.26,"Island",869.4051162,2061.832,16.6,593926.4796,0.345288322
"19","Aves","Foudia madagascariensis","Foudia madagascariensis_Comoros",-0.027,2773,99.27,414860.26,"Island",401.2224365,2955.916,16.6,593926.4796,0.77936318
"20","Reptilia","Anolis cristatellus","Anolis cristatellus_Dominican Republic",0.018,1223,132.88,704109.69,"Island",123.972708,2533.498,9.8,9265.658898,0.018458559
"21","Aves","Streptopelia bitorquata","Streptopelia bitorquata_Northern Mariana Islands",0.0697,3130,141.97,453268.76,"Island",3565.289729,2375.095,153,187501.1215,0.183591444
"22","Reptilia","Anolis porcatus","Anolis porcatus_Dominican Republic",0.119,1734,48.14,198496.64,"Island",473.6636423,2712.113,17.6,109164.1276,0.049299644
"23","Reptilia","Phelsuma laticauda","Phelsuma laticauda_Comoros",0.198,1859,156.09,391995.29,"Island",398.607558,1331.482,5.8,39735.59585,0.06618767
"24","Amphibia","Osteopilus septentrionalis","Osteopilus septentrionalis_The Bahamas",0.226,1731,45.3,103153.92,"Island",196.1322219,492.114,57,118780.6072,0.17584824
"25","Aves","Streptopelia bitorquata","Streptopelia bitorquata_Guam",0.290223,3130,141.97,453268.76,"Island",3457.753885,2596.682,153,187501.1215,0.229826944
"26","Amphibia","Osteopilus septentrionalis","Osteopilus septentrionalis_Antigua and Barbuda",0.357,1731,45.3,103153.92,"Island",1349.706152,494.44,57,118780.6072,0.313811143
"27","Amphibia","Osteopilus septentrionalis","Osteopilus septentrionalis_British Virgin Islands",0.402,1731,45.3,103153.92,"Island",1024.762497,828.037,57,118780.6072,0.219815082
"28","Amphibia","Osteopilus septentrionalis","Osteopilus septentrionalis_Virgin Islands",0.489,1731,45.3,103153.92,"Island",996.1355579,814.653,57,118780.6072,0.075716796
"29","Aves","Corvus moneduloides","Corvus moneduloides_New Caledonia",0.505,1508,251.76,1266048.99,"Island",66.37489817,3258.823,277.4,16470.82026,0.349615471
"30","Reptilia","Sphaerodactylus argus","Sphaerodactylus argus_Cuba",0.505,1732,99.97,82660.34,"Island",216.5705231,2631.517,0.9,33517.26534,0.016414829
"31","Aves","Foudia madagascariensis","Foudia madagascariensis_Mayotte",0.513,2773,99.27,414860.26,"Island",299.2933825,2751.405,16.6,593926.4796,0.308855419
"32","Amphibia","Osteopilus septentrionalis","Osteopilus septentrionalis_Cayman Islands",0.83,1731,45.3,103153.92,"Island",218.2726561,449.414,57,118780.6072,0.312234491
"33","Aves","Serinus canaria","Serinus canaria_Spain",-0.176009432,3470,289.26,96368.76,"Continent",961.4091119,5655.691,24.3,10555.56287,0.67236102
"34","Aves","Serinus canaria","Serinus canaria_England",-1.830324969,3470,289.26,96368.76,"Island",2175.939029,4704.22,24.3,10555.56287,0.770519567
"35","Amphibia","Eleutherodactylus antillensis","Eleutherodactylus antillensis_Virgin Islands",0.489,1223,133.51,704723.38,"Island",26.45504008,813.862,3.41,9318.181838,0.075716796
"36","Aves","Serinus canaria","Serinus canaria_Poland",-1.86099558,3470,289.26,96368.76,"Continent",3255.970078,5151.847,24.3,10555.56287,0.748746845
"37","Aves","Serinus canaria","Serinus canaria_Italy",-1.011285156,3470,289.26,96368.76,"Continent",2375.46074,5475.746,24.3,10555.56287,0.714706275
"38","Aves","Serinus canaria","Serinus canaria_United States",-0.661645874,3470,289.26,96368.76,"Continent",3327.764248,6005.686,24.3,10555.56287,0.46282927
"39","Reptilia","Leiocephalus carinatus","Leiocephalus carinatus_United States",0.486,1733,63.06,82605.04,"Continent",83.9487528,1944.616,71.9,48770.39888,0.076926775
"40","Aves","Ninox novaeseelandiae","Ninox novaeseelandiae_Australia",-0.851,NA,NA,NA,"Continent",894.8537294,8012.234,183.4,269580.9982,0.633886949
"41","Amphibia","Eleutherodactylus coqui","Eleutherodactylus coqui_United States_HW",-0.646,1223,133.9,704723.38,"Island",9097.040241,449.159,14.47,8821.832721,0.204771641
"42","Aves","Tanygnathus lucionensis","Tanygnathus lucionensis_Malaysia",0.8012,2731,178.08,649870.71,"Island",195.3961072,10690.019,215,292647.8111,0.732810143
"43","Amphibia","Osteopilus septentrionalis","Osteopilus septentrionalis_Netherlands Antilles",0.191,1731,45.3,103153.92,"Island",1062.372534,1095.111,57,118780.6072,0.313811171
"44","Amphibia","Osteopilus septentrionalis","Osteopilus septentrionalis_United States",0.523,1731,45.3,103153.92,"Continent",162.416851,2081.668,57,118780.6072,0.006007787
"45","Amphibia","Eleutherodactylus planirostris","Eleutherodactylus planirostris_Mexico_YUC",0.457,1731,46.13,103153.92,"Continent",341.5246162,1420.085,4.49,75807.83147,0.059289239
"46","Amphibia","Eleutherodactylus coqui","Eleutherodactylus coqui_Virgin Islands",0.443,1223,133.9,704723.38,"Island",69.12402693,828.037,14.47,8821.832721,0.193792983
"47","Amphibia","Eleutherodactylus planirostris","Eleutherodactylus planirostris_Mexico_VER",0.105,1731,46.13,103153.92,"Continent",1331.511302,2459.738,4.49,75807.83147,0.106966827
"48","Aves","Eclectus roratus","Eclectus roratus_Indonesia",-0.238,2805,221.28,815891.73,"Island",125.6152257,7252.134,480.8,52370.44666,0.162749505
"49","Amphibia","Eleutherodactylus martinicensis","Eleutherodactylus martinicensis_Dominica",-0.066,1329,168.64,343845.2,"Island",52.27478976,598.405,10.49,4595.873448,0.190208876
"50","Reptilia","Furcifer pardalis","Furcifer pardalis_Reunion",-1.013,1857,135.82,742964.63,"Island",684.9725277,814.269,268.8,111236.5169,0.232001917
"51","Reptilia","Furcifer pardalis","Furcifer pardalis_Mauritius",-0.389,1857,135.82,742964.63,"Island",890.4329374,1247.994,268.8,111236.5169,0.090628596
"52","Amphibia","Eleutherodactylus antillensis","Eleutherodactylus antillensis_British Virgin Islands",0.369,1223,133.51,704723.38,"Island",55.75721877,828.037,3.41,9318.181838,0.11344063
"53","Aves","Serinus canaria","Serinus canaria_Germany",-1.584801568,3470,289.26,96368.76,"Continent",2598.706339,5045.023,24.3,10555.56287,0.687772521
"54","Aves","Serinus canaria","Serinus canaria_Belgium",-1.724243883,3470,289.26,96368.76,"Continent",2507.255416,5155.604,24.3,10555.56287,0.571519309
"55","Aves","Foudia madagascariensis","Foudia madagascariensis_Reunion",-0.374,2773,99.27,414860.26,"Island",678.6090876,2160.971,16.6,593926.4796,0.46931287
"56","Reptilia","Anolis aeneus","Anolis aeneus_Trinidad and Tobago",-6.327,652,188.1,137951.88,"Island",131.7168038,3207.212,10.6,408.856282,0.023603401
"57","Aves","Foudia madagascariensis","Foudia madagascariensis_Seychelles",0.016,2773,99.27,414860.26,"Island",359.2143457,2253.783,16.6,593926.4796,0.545935342
"58","Reptilia","Phelsuma laticauda","Phelsuma laticauda_United States_HW",-2.457,1859,156.09,391995.29,"Island",16741.57843,774.75,5.8,39735.59585,0.268828374
"59","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Saint Vincent and the Grenadines",0.12,1329,160.49,139077.38,"Island",413.3019566,599.16,4.1,5484.637772,0.24769115
"60","Amphibia","Eleutherodactylus planirostris","Eleutherodactylus planirostris_United States_HW",-0.454,1731,46.13,103153.92,"Island",7309.374588,474.664,4.49,75807.83147,0.188602109
"61","Reptilia","Phelsuma grandis","Phelsuma grandis_Reunion",-0.873,1857,197.72,798809.1,"Island",688.19964,814.269,30.1,9284.81621,0.232001926
"62","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Colombia",0.455,1329,160.49,139077.38,"Continent",1546.601519,5247.678,4.1,5484.637772,0.008053239
"63","Amphibia","Osteopilus septentrionalis","Osteopilus septentrionalis_Puerto Rico",0.428,1731,45.3,103153.92,"Island",763.681994,1018.655,57,118780.6072,0.033530628
"64","Aves","Margaroperdix madagarensis","Margaroperdix madagarensis_Reunion",-0.666,2773,105.25,414860.26,"Island",723.8654204,2160.971,245,546164.1514,NA
"65","Amphibia","Eleutherodactylus planirostris","Eleutherodactylus planirostris_Jamaica",0.235,1731,46.13,103153.92,"Island",161.2893269,832.196,4.49,75807.83147,0.034165161
"66","Aves","Taeniopygia guttata","Taeniopygia guttata_Australia",-1.9597,3368,217.44,449164.06,"Continent",676.1683355,6264.188,12,83934.32159,0.19337399
"67","Reptilia","Podarcis pityusensis","Podarcis pityusensis_Spain",-3.509,348,97.95,83956.95,"Continent",104.252653,738.626,12.7,661.0223297,0.251887045
"68","Aves","Turnix nigricollis","Turnix nigricollis_Reunion",-0.2937,2816,100.55,287521.47,"Island",692.149455,2160.971,61.3,596517.8914,0.487083404
"69","Amphibia","Eleutherodactylus planirostris","Eleutherodactylus planirostris_Honduras",0.533,1731,46.13,103153.92,"Continent",805.3530403,2981.125,4.49,75807.83147,0.032942902
"70","Aves","Syrmaticus soemmerringii","Syrmaticus soemmerringii_United States",-1.7122,3644,213.09,173785.49,"Continent",8108.571141,5425.185,1081.7,175126.6244,0.676698616
"71","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Martinique",0.121,1329,160.49,139077.38,"Island",252.8049578,645.132,4.1,5484.637772,0.253393762
"72","Amphibia","Eleutherodactylus planirostris","Eleutherodactylus planirostris_United States",0.403,1731,46.13,103153.92,"Continent",86.42259997,2124.489,4.49,75807.83147,0.053465977
"73","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Jamaica",0.068,1329,160.49,139077.38,"Island",1548.124571,844.611,4.1,5484.637772,0.034205966
"74","Aves","Aerodramus bartschi","Aerodramus bartschi_United States",-13.6,472,94.13,2671674.79,"Continent",5927.565767,3342.926,7.4,896.3865672,NA
"75","Reptilia","Teira dugesii","Teira dugesii_Portugal",-6.705,1600,440.26,374327.66,"Continent",887.4917021,1694.769,12.3,819.6066015,0.150722635
"76","Aves","Eclectus roratus","Eclectus roratus_Belgium",-4.628,2805,221.28,815891.73,"Continent",12032.32622,5116.032,480.8,52370.44666,0.576800097
"77","Aves","Eclectus roratus","Eclectus roratus_United States",-4.025,2805,221.28,815891.73,"Continent",12942.55603,5795.623,480.8,52370.44666,0.676457177
"78","Amphibia","Eleutherodactylus coqui","Eleutherodactylus coqui_United States_CA",-2.972,1223,133.9,704723.38,"Continent",5175.579748,1110.75,14.47,8821.832721,0.108340602
"79","Reptilia","Anolis cristatellus","Anolis cristatellus_Costa Rica",-1.111,1223,132.88,704109.69,"Continent",1910.98968,4556.478,9.8,9265.658898,0.023502089
"80","Aves","Branta sandvicensis","Branta sandvicensis_Belgium",-0.211,2965,219.79,3636751.52,"Continent",11693.04639,5084.899,2044.1,6798.021537,0.577129433
"81","Reptilia","Anolis cristatellus","Anolis cristatellus_United States",0.016,1223,132.88,704109.69,"Continent",1557.281705,1955.644,9.8,9265.658898,0.08158863
"82","Reptilia","Anolis garmani","Anolis garmani_United States",0.181,2123,177.3,624722.03,"Continent",834.4385377,1957.093,52.6,9934.699411,0.092418787
"83","Aves","Chloropsis cochinchinensis","Chloropsis cochinchinensis_Hong Kong",0.289,3293,150.82,827733.64,"Continent",3315.364231,8818.643,24.5,79207.00477,0.721773001
"84","Reptilia","Leiocephalus schreibersii","Leiocephalus schreibersii_United States",0.361,1835,177.58,628733.09,"Continent",963.6238269,1919.75,35.3,12004.60859,0.089452401
"85","Reptilia","Anolis allisoni","Anolis allisoni_United States",0.643,1734,49.7,42960.1,"Continent",318.1582698,1896.005,20.4,94314.45077,0.032914592
"86","Amphibia","Eleutherodactylus coqui","Eleutherodactylus coqui_United States_FL",0.649,1223,133.9,704723.38,"Continent",1575.325503,1996.564,14.47,8821.832721,0.054062818
"87","Reptilia","Carlia ailanpalai","Carlia ailanpalai_Guam",-27.19,600,101.73,1037351.09,"Island",1732.00133,872.027,4,1872.298565,0.252434903
"88","Reptilia","Carlia ailanpalai","Carlia ailanpalai_Northern Mariana Islands",-27.111,600,101.73,1037351.09,"Island",1812.095181,1024.09,4,1872.298565,0.260835212
"89","Aves","Turdus plumbeus","Turdus plumbeus_Cayman Islands",-7.6781,44,4.39,103152.3,"Island",579.2845869,4483.098,75.3,7104.178605,0.541812873
"90","Reptilia","Anolis aeneus","Anolis aeneus_Guyana",-4.202,652,188.1,137951.88,"Island",535.4484189,4566.511,10.6,408.856282,0.002121652
"91","Aves","Eclectus roratus","Eclectus roratus_Palau",-2.346,2805,221.28,815891.73,"Island",831.6521354,3049.081,480.8,52370.44666,0.516362628
"92","Reptilia","Anolis marmoratus","Anolis marmoratus_French Guiana",-1.768,1328,138.19,578491.66,"Island",1398.761933,4471.5,12.6,1460.494114,0.025027631
"93","Aves","Vini peruviana","Vini peruviana_Cook Islands",-0.08,1509,374.53,5432943.24,"Island",889.9830517,840.142,29,1710.928353,0.381786325
"94","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Netherlands Antilles",-0.002,1329,160.49,139077.38,"Island",928.2249332,1727.815,4.1,5484.637772,0.500000072
"95","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_French Guiana",0.098,1329,160.49,139077.38,"Island",1690.649692,4950.248,4.1,5484.637772,0.011440809
"96","Amphibia","Eleutherodactylus planirostris","Eleutherodactylus planirostris_Guam",0.186,1731,46.13,103153.92,"Island",13361.97012,989.473,4.49,75807.83147,0.346142742
"97","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Saint Lucia",0.285,1329,160.49,139077.38,"Island",354.9883643,613.642,4.1,5484.637772,0.264235553
"98","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Grenada",0.326,1329,160.49,139077.38,"Island",532.7441808,586.642,4.1,5484.637772,0.25230886
"99","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Barbados",0.918,1329,160.49,139077.38,"Island",481.7089227,449.414,4.1,5484.637772,0.500000019
"100","Aves","Turdus plumbeus","Turdus plumbeus_United States",-19.9384,44,4.39,103152.3,"Continent",211.7022872,6353.014,75.3,7104.178605,0.677357683
"101","Aves","Serinus canaria","Serinus canaria_Canada",-2.387464488,3470,289.26,96368.76,"Continent",3002.402185,4718.093,24.3,10555.56287,0.686317738
"102","Aves","Serinus canaria","Serinus canaria_Ireland",-1.841180547,3470,289.26,96368.76,"Continent",2257.355168,4068.799,24.3,10555.56287,0.44442954
"103","Reptilia","Sphaerodactylus argus","Sphaerodactylus argus_Mexico",-0.833,1732,99.97,82660.34,"Continent",1089.018751,3222.776,0.9,33517.26534,0.039610173
"104","Aves","Phasianus versicolor","Phasianus versicolor_Canada",-0.806,3644,194.26,174128.41,"Continent",7051.434455,5312.733,918.8,290222.5956,0.682845198
"105","Aves","Phasianus versicolor","Phasianus versicolor_United States",-0.804,3644,194.26,174128.41,"Continent",7945.449132,5712.267,918.8,290222.5956,0.67678651
"106","Aves","Turdus poliocephalus","Turdus poliocephalus_Australia",-0.0888,NA,NA,NA,"Continent",1679.529874,1244.024,61.6,248540.5346,0.943996724
"107","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Panama",0.327,1329,160.49,139077.38,"Continent",2116.632888,5051.037,4.1,5484.637772,0.026830101
"108","Aves","Serinus canaria","Serinus canaria_Midway Islands",-1.89811339,3470,289.26,96368.76,"Island",11706.43239,1062.928,24.3,10555.56287,0.490621135
"109","Aves","Phasianus versicolor","Phasianus versicolor_United Kingdom",-0.574,3644,194.26,174128.41,"Island",8807.125119,5018.764,918.8,290222.5956,0.593153351
"110","Aves","Branta sandvicensis","Branta sandvicensis_United Kingdom",-0.266,2965,219.79,3636751.52,"Island",11481.52761,5005.827,2044.1,6798.021537,0.774168359
"111","Aves","Turnix nigricollis","Turnix nigricollis_Mauritius",-0.1603,2816,100.55,287521.47,"Island",880.485265,2204.652,61.3,596517.8914,0.776277616
"112","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Guadeloupe",-0.134,1329,160.49,139077.38,"Island",90.377419,563.75,4.1,5484.637772,0.152761906
"113","Amphibia","Osteopilus septentrionalis","Osteopilus septentrionalis_Saint Kitts and Nevis",0.269,1731,45.3,103153.92,"Island",1271.177511,495.756,57,118780.6072,0.326928608
"114","Amphibia","Osteopilus septentrionalis","Osteopilus septentrionalis_Anguilla",0.32,1731,45.3,103153.92,"Island",1194.484752,449.414,57,118780.6072,0.499999944
"115","Reptilia","Anolis cristatellus","Anolis cristatellus_Dominica",0.421,1223,132.88,704109.69,"Island",176.0541742,1782.858,9.8,9265.658898,0.055674139
"116","Amphibia","Eleutherodactylus martinicensis","Eleutherodactylus martinicensis_Antigua and Barbuda",0.448,1329,168.64,343845.2,"Island",256.360207,494.44,10.49,4595.873448,0.471528894
"117","Amphibia","Eleutherodactylus johnstonei","Eleutherodactylus johnstonei_Trinidad and Tobago",0.539,1329,160.49,139077.38,"Island",659.4313414,1596.07,4.1,5484.637772,0.050227582
"118","Aves","Streptopelia bitorquata","Streptopelia bitorquata_Indonesia",0.7605,3130,141.97,453268.76,"Island",1327.082705,10994.759,153,187501.1215,0.733360739
